,Data,Id,Tweet Text,UserName,Location,Hashtags
0,2017-12-28 16:02:10+00:00,946410957525225474,Thanks for covering ts @reenadhankher @city_spidey @AuraRwa @ankit_vohra1 @life_spaces @anandmahindra #wastemanagement #segregation #Decentralized @cmohry https://t.co/JRPRnHbeIo,yasheshyadav,"Rewari, Gurgaon ","['wastemanagement', 'segregation', 'Decentralized']"
1,2017-12-18 16:23:27+00:00,942792437180792832,"My first #vegan #wallet no #leather or #plastic #eco #green #peopletree #gift #Delhi @ Gurgaon,… https://t.co/7Zpu2A71wc",Modhgil,"Delhi, London, San Francisco","['vegan', 'wallet', 'leather', 'plastic', 'eco', 'green', 'peopletree', 'gift', 'Delhi']"
2,2017-12-18 10:36:56+00:00,942705230789074944,@SwachhBharatGov #Composting shd be mandatory where food is prepared and served. A lot of money is spent of waste collection/segregation. Govt shd highlight the benefits of #WasteManagement to all. It will take time but it will be worth it all in the end. Tagging @GarbageGardenIN !,GuptaGie,New Delhi,"['Composting', 'WasteManagement']"
3,2017-12-15 12:49:25+00:00,941651406762557440,"#CRIS #Technology easy to install, almost impossible to maintain. Need #skill and long term commitment. Else it will add to rising Mounds #Gazipur #Garbage kind @Indianrlyinfo https://t.co/GVZzzt3N8E",RcAnalyst,"Gurgaon, India","['CRIS', 'Technology', 'skill', 'Gazipur', 'Garbage']"
4,2017-12-13 11:46:34+00:00,940910814231326720,This shows how incapable Noida's Municipal #WasteManagement system is. @myogiadityanath https://t.co/hF3IPTLRwi,gautamshefali14,New Delhi,['WasteManagement']
5,2017-12-13 11:08:19+00:00,940901191508140032,#TowaSo stall at #esri user conference. #Delhi is calling for #WasteManagement. @ The Leela… https://t.co/o3YNQZ7KkC,towasoIND,"Jamshedpur, Jharkhand","['TowaSo', 'esri', 'Delhi', 'WasteManagement']"
6,2017-12-07 06:18:10+00:00,938653843696390145,@NASA Teams up with @tupperware to Grow Vegetables in Space [Polymer Tent and Pillows Made of #Plastic #Mesh] - CPRJ &amp; @4SPE_Plastics conference https://t.co/WDh87Irnhx,Plast_Solutions,Paris,"['Plastic', 'Mesh']"
7,2017-12-04 12:16:54+00:00,937656957112025088,"Shout out to Swapna Merlin for this wonderful story on God's own Country's #wastemanagement solutions. 
#Sustainability #responsible #tourism 
@AlpaviramOnline definitely of interest to you https://t.co/t8KEJQEzmP",AparnaMudi,"New Delhi, India","['wastemanagement', 'Sustainability', 'responsible', 'tourism']"
8,2017-11-26 06:25:55+00:00,934669528528699392,Workshop on #WasteManagement held at #LotusPanache. It was conducted by @GarbageGardenIN. Overwhelming response by the residents to learn #Composting at home. #SwachhBharat @swatchhbharat @narendramodi @amitabhk87 @virendersehwag @MoHUA_India https://t.co/XNjSugmR1q,GuptaGie,New Delhi,"['WasteManagement', 'LotusPanache', 'Composting', 'SwachhBharat']"
9,2017-11-24 09:40:43+00:00,933993777533894656,"@A2BRestaurant team, is it #necessary to give #polluting #plasticstraw #everytime, even when #customer is #happy #sipping from #glass, plz stop this practice @ArvindKejriwal lets do something on it sir for a less #plastic prone #Delhi https://t.co/86JtbHuYVJ",bhaveshsw,"Gurgaon, India","['necessary', 'polluting', 'plasticstraw', 'everytime', 'customer', 'happy', 'sipping', 'glass', 'plastic', 'Delhi']"
10,2017-11-19 06:11:09+00:00,932129098968784896,"Governments come, get power n go, but don't care 4 basic amenities, as #WasteManagement problem due 2 lack of #PublicDustbins, ppl r unable throw the garbage at proper place 4 #SwachhBharat near #NDRF #GDA  #BJPGhaziabad @myogiadityanath @UPGovt @PMOIndia @dm_ghaziabad https://t.co/B3iqSFbpQo",DrRohtashS,India,"['WasteManagement', 'PublicDustbins', 'SwachhBharat', 'NDRF', 'GDA', 'BJPGhaziabad']"
11,2017-11-16 08:06:26+00:00,931070947217489920,"#Management of #menstrual waste by Arundati Murlidharan.
#WasteManagement https://t.co/U3TCVDhCn3",ChintanIndia,"New Delhi, India","['Management', 'menstrual', 'WasteManagement']"
12,2017-11-15 10:33:41+00:00,930745612126978049,"Elets Smart City Summit Aligarh 2017: We will have special discussion track on #WasteManagement with key stakeholders. Are you joining us for deliberation? 

https://t.co/K1DRaiWEqU #SmartCityAligarh  @myogiadityanath  @NNALIGARH https://t.co/bbB5ZN5dXr",SmartCityElets,"New Delhi, India","['WasteManagement', 'SmartCityAligarh']"
13,2017-11-13 02:17:18+00:00,929895919151038464,"The system fails again n again..Need to fix responsibility, especially roads,waste,n water management, #makingofsmartcities #Government #RoadSafety #wastemanagement #WaterManagement @PMOIndia",neerajgaurbjp,"Faridabad, India","['makingofsmartcities', 'Government', 'RoadSafety', 'wastemanagement', 'WaterManagement']"
14,2017-11-04 16:33:01+00:00,926849775688929283,"The biggest challenge in d near future is gonna be #Garbage &amp; #Waste  Management in Land, Water n Air.

#ChennaiFloods #DelhiPollution",abhiktushardas,"Gujarat, India","['Garbage', 'Waste', 'ChennaiFloods', 'DelhiPollution']"
15,2017-11-03 10:16:56+00:00,926392746566328322,Request @noida_authority to come up plans and implementation of #Wastemanagement @fonrwa should raise this issue. #NGT not doing enough.,evasec93,"Sector 93, Noida","['Wastemanagement', 'NGT']"
16,2017-11-03 05:19:49+00:00,926317973702262787,#Wastemanagement a challenge for all few Residents  of #evasector93 like @piyush3pathi do their bit but it's not enough. https://t.co/l2JZM9sUGO,evasec93,"Sector 93, Noida","['Wastemanagement', 'evasector93']"
17,2017-10-30 13:28:13+00:00,924991332707459072,dear @CMOfficeUP @myogiadityanath #Garbage dumping in residential area is a #HealthHazard pls look into this...nearly 1lakh will be affected https://t.co/uO6Hy86gJ8,sachinsingh1010,Noida,"['Garbage', 'HealthHazard']"
18,2017-10-28 12:08:47+00:00,924246566096867328,#politicsofenvironment #solutions have2be #affordable #inclusive #sunitanarain #Thiruvananthapuram #drown or #manage #garbage @PenguinIndia,sreenindia,"Delhi, India","['politicsofenvironment', 'solutions', 'affordable', 'inclusive', 'sunitanarain', 'Thiruvananthapuram', 'drown', 'manage', 'garbage']"
19,2017-10-23 04:35:53+00:00,922320651821596672,Meeting with delegation from Colombo Municipal Council on #WasteManagement #SwachhBharatAbhiyan  @SwachhBharatBot @PMOIndia @LtGovDelhi https://t.co/Q4BxlvnUos,DDSILtd,"Okhla, New Delhi","['WasteManagement', 'SwachhBharatAbhiyan']"
20,2017-10-21 02:42:00+00:00,921567213244391424,The clean India now need to manage this colossal challenge @swachhindia #ClimateAction #SmartCities  #wastemanagement https://t.co/gMyHaeWwkx,kirtimishra1,New Delhi,"['ClimateAction', 'SmartCities', 'wastemanagement']"
21,2017-10-13 07:13:01+00:00,918736315704688641,@SDMC_Official and @DDSILtd discussing #SwachhSurvekshan for better ranking in #wastemanagement in 2018. #SwachhBharat  @MoHUA_India https://t.co/816iB8LpbY,DDSILtd,"Okhla, New Delhi","['SwachhSurvekshan', 'wastemanagement', 'SwachhBharat']"
22,2017-10-12 07:51:42+00:00,918383662005022720,"#Home-grown #wheatgrass sprouts in #takeaway #plastic #food #boxes.
#Minerals #Vitamins #Proteins
#Health #Harmony #Happiness https://t.co/DOn8WtiqGQ",rahulkumarindia,"New Delhi, India","['Home', 'wheatgrass', 'takeaway', 'plastic', 'food', 'boxes', 'Minerals', 'Vitamins', 'Proteins', 'Health', 'Harmony', 'Happiness']"
23,2017-10-11 04:51:46+00:00,917975993117302784,#IPCSColumns | '#Maritime Matters' by Vijay Sakhuja | '#Plastic Litter: The Challenge at #Sea': https://t.co/zrBFPYsd61,IPCSNewDelhi,"18 Link Road, Jungpura Ex","['IPCSColumns', 'Maritime', 'Plastic', 'Sea']"
24,2017-10-09 08:30:29+00:00,917306257119125504,#seasalt #contamination  #what is the world coming too  #use #Himalayan #salt #from before the #times of #plastic   https://t.co/6TijNPmKjP,AkshayMalhtra,"New Delhi, Delhi","['seasalt', 'contamination', 'what', 'use', 'Himalayan', 'salt', 'from', 'times', 'plastic']"
